Enzyme,Treatment,Control,N_Treatment,N_Control,T_Statistic,P_Value,Significant_at_0.05,Test
AChE,Mandarin,Methanol,11,11,7.6238,6.95E-07,Yes,Welch two-sample t-test
BChE,Mandarin,Methanol,11,11,-6.9520,7.79E-06,Yes,Welch two-sample t-test
