enzyme,sample_row,plate_well,treatment,rate_slope,intercept,r2,n_points,fit_start_time_min,fit_end_time_min
AChE,A,A:10,grapefruit,0.0025702044036435686,0.015771444121541144,0.7715753619737904,6,4.98,9.982
AChE,A,A:11,grapefruit,0.14502837074035216,1.191642691016453,0.9996586590708052,5,2.981,6.981
AChE,A,A:12,grapefruit,0.13898614717610572,1.2387238537397116,0.9990186278975794,5,3.982,7.982
AChE,A,A:2,grapefruit,0.16856974460547963,1.559456484855965,0.9987858800893871,5,0.0,3.982
AChE,A,A:3,grapefruit,0.16659135507216136,1.4753827967237887,0.997366864065528,5,0.0,3.982
AChE,A,A:4,grapefruit,0.009094781532874087,-1.1905909082827875,0.9882380931252048,5,5.98,9.982
AChE,A,A:5,grapefruit,0.09698039620387094,0.7278834968552377,0.999677056457989,5,7.982,11.983
AChE,A,A:6,grapefruit,0.13210993039339322,1.1755270463370036,0.9982808049633768,7,2.981,8.983
AChE,A,A:7,grapefruit,0.2117197032693636,1.3498210768916212,0.9989406933160706,5,0.0,3.982
AChE,A,A:8,grapefruit,0.18362165764350777,1.2795844582406946,0.9985060113831856,5,0.0,3.982
AChE,A,A:9,grapefruit,0.13598574845600916,1.4226692384846091,0.999126491181245,5,3.982,7.982
AChE,B,B:10,bergamot,0.18796555362957112,1.663749870851701,0.9925079489202359,5,0.98,4.98
AChE,B,B:11,bergamot,0.20762778225252254,1.8659419033416438,0.9830261027256012,5,0.0,3.982
AChE,B,B:12,bergamot,0.22969982616435147,1.8181377249942283,0.9824168362014777,5,0.0,3.982
AChE,B,B:2,bergamot,0.10297917537651337,2.355060269872766,0.9797705798816536,5,0.98,4.98
AChE,B,B:3,bergamot,0.12033997928279927,2.2871732771153566,0.9541382651452809,5,0.0,3.982
AChE,B,B:4,bergamot,0.007118818566989561,-1.2032774092294602,0.9945949528186261,15,1.98,15.985
AChE,B,B:5,bergamot,0.14897236338349046,1.985972973699169,0.9884972956263726,5,0.98,4.98
AChE,B,B:6,bergamot,0.14997236306361844,2.0649923746525802,0.9762544934096674,5,0.98,4.98
AChE,B,B:7,bergamot,0.18296775434857923,1.7446463113886255,0.99026022246358,5,0.98,4.98
AChE,B,B:8,bergamot,0.20965309887138156,1.7479224599798564,0.990380650517582,5,0.0,3.982
AChE,B,B:9,bergamot,0.1995996253567061,1.8058745835170815,0.9795563628442157,5,0.0,3.982
AChE,C,C:10,orange,0.08823863031236756,2.6428816142820755,0.9607090515704241,5,0.0,3.982
AChE,C,C:11,orange,-0.021985608475586057,3.313461140447009,0.8831153535850308,5,10.983,14.985
AChE,C,C:12,orange,-0.02598580663771201,3.3873997133840525,0.913611799045076,5,10.983,14.985
AChE,C,C:2,orange,0.03893937282177954,2.8332810878061703,0.8352618696134994,6,0.0,4.98
AChE,C,C:3,orange,0.044957244559450396,2.813333697388418,0.9369604589495952,6,0.0,4.98
AChE,C,C:4,orange,0.004385912370535022,-1.0868746434099743,0.9779334538888708,19,0.0,17.986
AChE,C,C:5,orange,0.07355652102653672,2.6089645278569202,0.894570491502291,6,0.0,4.98
AChE,C,C:6,orange,0.06757733034119472,2.722149174320862,0.9286672520275763,6,0.0,4.98
AChE,C,C:7,orange,0.05498658776918405,2.67410697649517,0.9608434599618634,5,0.98,4.98
AChE,C,C:8,orange,0.0752063945867811,2.6767453893030737,0.9342280442130613,5,0.0,3.982
AChE,C,C:9,orange,0.08720180354686567,2.65693930068089,0.8408856321088317,5,0.0,3.982
AChE,D,D:10,neroli,0.06898985896744723,2.6469740219680222,0.8677103474953167,6,0.0,4.98
AChE,D,D:11,neroli,0.03398939336604759,2.7586912141331594,0.9473289693653443,5,0.98,4.98
AChE,D,D:12,neroli,0.0883843854127972,2.5154679173655135,0.7889902547785161,6,0.0,4.98
AChE,D,D:2,neroli,0.028347370901054644,2.7912565219102636,0.8806751783888789,6,0.0,4.98
AChE,D,D:3,neroli,0.033712710841570084,2.6785539652106873,0.9237700265461254,6,2.981,7.982
AChE,D,D:4,neroli,0.003293182417809502,-1.163863007460798,0.9180931555623858,10,0.0,8.983
AChE,D,D:5,neroli,0.09726554865537158,2.44496679213855,0.9598126182371873,5,0.0,3.982
AChE,D,D:6,neroli,0.10227425977255526,2.4090265040553875,0.9435971117791075,5,0.0,3.982
AChE,D,D:7,neroli,0.08598457865347336,2.423714364865458,0.9268555728312187,5,0.98,4.98
AChE,D,D:8,neroli,0.12167670757529464,2.3127753378342306,0.9441992146197684,6,0.0,4.98
AChE,D,D:9,neroli,0.06999298041008209,2.5713789225897106,0.9534977590066862,5,0.98,4.98
AChE,E,E:10,mandarin,0.1260243744629602,0.9222977956748877,0.9997351730854512,5,2.981,6.981
AChE,E,E:11,mandarin,0.14600073409509826,1.217486044097897,0.9993315773257955,6,1.98,6.981
AChE,E,E:12,mandarin,0.12697396978041764,0.8255413856724876,0.9998043092340427,5,0.98,4.98
AChE,E,E:2,mandarin,0.11302137690477597,1.7290631259126907,0.9984927808468406,5,2.981,6.981
